model,dataset,construction_time (parallel),construction_time (sequential),search_time,search_timex_refined (parallel),search_timex_refined (sequential),recall,refined_recall,scann_peram,annoy_peram
scann,sift,78.84300708770752,78.84300708770752,0.9316980838775635,1.0845887660980225,1.0845887660980225,0.651159,0.811962,2000-25-250000-2-0.2,
scann,sift,85.34631586074829,85.34631586074829,4.4225053787231445,4.602024078369141,4.602024078369141,0.682049,0.879854,2000-400-250000-2-0.2,
scann,sift,78.66797924041748,78.66797924041748,1.308809518814087,1.5019431114196777,1.5019431114196777,0.673073,0.858134,2000-50-250000-2-0.2,
scann,sift,87.12767457962036,87.12767457962036,6.251509189605713,7.464785814285278,7.464785814285278,0.682034,0.879851,2000-600-250000-2-0.2,
scann,sift,89.46545338630676,89.46545338630676,1.5960257053375244,1.7190439701080322,1.7190439701080322,0.678676,0.87081,2000-75-250000-2-0.2,
scann,imageNet,141.71715807914734,141.71715807914734,0.38462281227111816,0.37398576736450195,0.37398576736450195,0.36975,0.49775,2000-1000-250000-2-0.2,
scann,imageNet,140.19445705413818,140.19445705413818,0.0630800724029541,0.05209708213806152,0.05209708213806152,0.3695,0.496,2000-100-250000-2-0.2,
scann,imageNet,141.61045169830322,141.61045169830322,0.02588820457458496,0.01394796371459961,0.01394796371459961,0.35,0.45025,2000-10-250000-2-0.2,
scann,imageNet,140.06202912330627,140.06202912330627,0.09933686256408691,0.09116554260253906,0.09116554260253906,0.37,0.49775,2000-200-250000-2-0.2,
scann,imageNet,141.4419550895691,141.4419550895691,0.03319716453552246,0.02175164222717285,0.02175164222717285,0.363,0.483,2000-25-250000-2-0.2,
scann,imageNet,136.79471015930176,136.79471015930176,0.16891694068908691,0.16380834579467773,0.16380834579467773,0.36975,0.49825,2000-400-250000-2-0.2,
scann,imageNet,148.81182479858398,148.81182479858398,0.04002833366394043,0.03141927719116211,0.03141927719116211,0.36825,0.49575,2000-50-250000-2-0.2,
scann,imageNet,141.16194796562195,141.16194796562195,0.33687543869018555,0.2594919204711914,0.2594919204711914,0.36975,0.498,2000-600-250000-2-0.2,
scann,imageNet,150.15668320655823,150.15668320655823,0.05151557922363281,0.04241323471069336,0.04241323471069336,0.37,0.49625,2000-75-250000-2-0.2,
scann,deep_hundred,154.51439499855042,154.51439499855042,0.28269362449645996,0.2707540988922119,0.2707540988922119,0.75095,0.93835,2000-1000-250000-2-0.2,
scann,deep_hundred,156.31552076339722,156.31552076339722,0.05735468864440918,0.0498960018157959,0.0498960018157959,0.7445,0.9202,2000-100-250000-2-0.2,
scann,deep_hundred,153.17820596694946,153.17820596694946,0.02241373062133789,0.019689083099365234,0.019689083099365234,0.60775,0.6819,2000-10-250000-2-0.2,
scann,deep_hundred,156.12730813026428,156.12730813026428,0.08844542503356934,0.07967424392700195,0.07967424392700195,0.7496,0.9341,2000-200-250000-2-0.2,
scann,deep_hundred,154.09796357154846,154.09796357154846,0.030618906021118164,0.0249025821685791,0.0249025821685791,0.69525,0.82145,2000-25-250000-2-0.2,
scann,deep_hundred,204.55546736717224,204.55546736717224,0.20208024978637695,0.19255661964416504,0.19255661964416504,0.7507,0.9378,2000-400-250000-2-0.2,
